Time	TOPUPCC:rdCur [mA]	TOPUPCC:rdCurrentB [mA]	PAHB:sDelay [ns]	PAHB:pDelay [ns]	TOPUPCC:rdEffBoostRraw [%]	TOPUP1T5G:rdEffBoostRraw []	TOPUP2T5G:rdEffBoostRraw []	LINAC1C:rdHVS_C [µA]	
09/04/2017 07:11:14.297572	3.31244	0.545602	0.05	-0.0262934	68.3996	0.691506	0.683996	-3.99307	
09/04/2017 07:11:14.797139	3.31244	0.572055	0.05	-0.0262934	68.3996	0.691506	0.683996	-3.81947	
09/04/2017 07:11:15.296682	3.46778	0.572055	0.05	-0.0262934	68.0486	0.691506	0.680486	-3.81947	
09/04/2017 07:11:15.796389	3.46778	0.569356	0.05	-0.0262934	68.0486	0.698635	0.680486	-3.81947	
09/04/2017 07:11:16.296130	3.47169	0.559386	0.05	-0.0262934	68.0486	0.698635	0.680486	-3.99307	
09/04/2017 07:11:16.795266	3.47169	0.559386	0.05	-0.0262934	68.0486	0.698635	0.680486	-3.81947	
09/04/2017 07:11:17.294761	3.62093	0.557365	0.05	-0.0262934	68.79	0.698635	0.6879	-3.99307	
09/04/2017 07:11:17.794371	3.62093	0.557228	0.05	-0.0262934	68.79	0.696847	0.6879	-3.99307	
09/04/2017 07:11:18.293638	3.62661	0.557228	0.05	-0.0262934	68.79	0.696847	0.6879	-3.99307	
09/04/2017 07:11:18.793437	3.62661	0.565649	0.05	-0.0262934	68.79	0.696847	0.6879	-3.81947	
09/04/2017 07:11:19.292699	3.77458	0.558027	0.1	-0.0262934	68.9526	0.696847	0.689526	-3.99307	
09/04/2017 07:11:19.792451	3.77458	0.558027	0.1	0.00999888	67.8087	0.678087	0.689526	-3.81947	
09/04/2017 07:11:20.291640	3.77971	0.559596	0.1	0.0191305	67.8087	0.678087	0.689526	-3.81947	
09/04/2017 07:11:20.790672	3.77971	0.563103	0.1	0.0244378	67.8087	0.678087	0.689526	-3.81947	
09/04/2017 07:11:21.289911	3.89064	0.547761	0.1	0.0259987	52.7091	0.678087	0.527091	-3.81947	
09/04/2017 07:11:21.789112	3.89064	0.547747	0.1	0.0259987	52.0579	0.520579	0.527091	-3.99307	
09/04/2017 07:11:22.289011	3.89503	0.547747	0.1	0.0259987	52.0579	0.520579	0.527091	-3.99307	
09/04/2017 07:11:22.788572	3.89503	0.554448	0.1	0.0259987	52.0579	0.520579	0.527091	-3.99307	
09/04/2017 07:11:23.287707	3.9902	0.555555	0.1	0.0259987	44.6659	0.520579	0.446659	-3.99307	
09/04/2017 07:11:23.787170	3.9902	0.561117	0.1	0.0259987	44.2998	0.442998	0.446659	-3.99307	
09/04/2017 07:11:24.286937	3.99653	0.557522	0.1	0.0259987	44.2998	0.442998	0.446659	-3.81947	
09/04/2017 07:11:24.786778	3.99653	0.557522	0.1	0.0259987	44.2998	0.442998	0.446659	-3.99307	
09/04/2017 07:11:25.286690	4.09255	0.549374	0.1	0.0259987	44.2998	0.442998	0.464228	-3.81947	
09/04/2017 07:11:25.786264	4.09255	0.549374	0.1	0.0259987	46.0392	0.460392	0.464228	-3.81947	
09/04/2017 07:11:26.285566	4.09255	0.299051	0.1	0.0259987	46.0392	0.460392	0.464228	-3.81947	
09/04/2017 07:11:26.785365	4.09929	0.2962	0.1	0.0259987	46.0392	0.460392	0.464228	-3.81947	
09/04/2017 07:11:27.284519	4.19742	0.2962	0.1	0.0259987	46.0392	0.460392	0.466294	-3.81947	
09/04/2017 07:11:27.783909	4.19742	0.562286	0.1	0.0259987	45.4326	0.454326	0.466294	-3.99307	
09/04/2017 07:11:28.283056	4.20557	0.553798	0.1	0.0259987	45.4326	0.454326	0.466294	-3.99307	
09/04/2017 07:11:28.782314	4.20557	0.553093	0.1	0.0259987	45.4326	0.454326	0.466294	-3.99307	
09/04/2017 07:11:29.282127	4.30715	0.553093	0.15	0.0259987	45.4326	0.454326	0.482132	-3.81947	
09/04/2017 07:11:29.781294	4.30715	0.56303	0.15	0.0623691	48.2132	0.483403	0.482132	-3.99307	
09/04/2017 07:11:30.280915	4.31174	0.556471	0.15	0.0715007	48.2132	0.483403	0.482132	-3.81947	
09/04/2017 07:11:30.780841	4.31174	0.55502	0.15	0.0772763	48.2132	0.483403	0.482132	-3.81947	
09/04/2017 07:11:31.280114	4.36689	0.55094	0.15	0.0783689	27.5272	0.483403	0.275272	-3.81947	
09/04/2017 07:11:31.779761	4.36689	0.547222	0.15	0.0783689	26.6427	0.266427	0.275272	-3.81947	
09/04/2017 07:11:32.279478	4.36991	0.547222	0.15	0.0783689	26.6427	0.266427	0.275272	-3.81947	
09/04/2017 07:11:32.779387	4.36991	0.573318	0.15	0.0783689	26.6427	0.266427	0.275272	-3.99307	
09/04/2017 07:11:33.278648	4.4154	0.549467	0.15	0.0783689	-1	0.266427	-1	-3.81947	
09/04/2017 07:11:33.778222	4.4154	0.549467	0.15	0.0783689	-1	-1	-1	-3.99307	
09/04/2017 07:11:34.277590	4.41971	0.551867	0.15	0.0783689	-1	-1	-1	-3.99307	
