Time	TOPUPCC:rdCur [mA]	TOPUPCC:rdCurrentB [mA]	PAHB:sDelay [ns]	PAHB:pDelay [ns]	TOPUPCC:rdEffBoostRraw [%]	TOPUP1T5G:rdEffBoostRraw []	TOPUP2T5G:rdEffBoostRraw []	
09/04/2017 04:53:40.006196	8.49751	0.564534	0.8	0.759182	-1	-1	-1	
09/04/2017 04:53:41.005411	8.50432	0.553658	0.8	0.759182	-1	-1	-1	
09/04/2017 04:53:42.004612	8.52206	0.561402	0.8	0.759182	-1	-1	-1	
09/04/2017 04:53:43.003691	8.52644	0.564183	0.8	0.759182	-1	-1	-1	
09/04/2017 04:53:44.002936	8.54352	0.568831	0.8	0.759182	-1	-1	-1	
09/04/2017 04:53:45.002434	8.55115	0.560632	0.8	0.759182	-1	-1	-1	
09/04/2017 04:53:46.001834	8.56806	0.569452	0.8	0.759182	-1	-1	-1	
09/04/2017 04:53:47.001567	8.57422	0.573004	0.8	0.759182	-1	-1	-1	
09/04/2017 04:53:48.001173	8.59098	0.569705	0.8	0.759182	-1	-1	-1	
09/04/2017 04:53:49.000291	8.59662	0.564978	0.85	0.786186	-1	-1	-1	
09/04/2017 04:53:49.999320	8.61355	0.565817	0.85	0.811552	-1	-1	-1	
09/04/2017 04:53:50.998968	8.62729	0.566807	0.85	0.811552	-1	-1	-1	
09/04/2017 04:53:51.998093	8.66347	0.569839	0.85	0.811552	-1	-1	-1	
09/04/2017 04:53:52.997203	8.67731	0.560474	0.85	0.811552	-1	-1	-1	
09/04/2017 04:53:53.996683	8.70991	0.568471	0.85	0.811552	-1	-1	-1	
09/04/2017 04:53:54.995864	8.72674	0.367539	0.85	0.811552	-1	-1	-1	
09/04/2017 04:53:55.994949	8.76573	0.56222	0.85	0.811552	24.7349	0.247349	0.247608	
09/04/2017 04:53:56.994243	8.7845	0.565057	0.85	0.811552	24.7349	0.247349	0.247608	
09/04/2017 04:53:57.993323	8.82518	0.569493	0.85	0.811552	25.4208	0.26223	0.254208	
09/04/2017 04:53:58.992671	8.84378	0.57278	0.9	0.838322	25.4208	0.26223	0.254208	
09/04/2017 04:53:59.992657	8.88125	0.563965	0.9	0.863532	24.2369	0.248895	0.242369	
09/04/2017 04:54:00.992466	8.90952	0.581459	0.9	0.863532	24.2369	0.248895	0.242369	
09/04/2017 04:54:01.991636	8.96437	0.573527	0.9	0.863532	35.1962	0.3531	0.351962	
09/04/2017 04:54:02.990972	8.98975	0.551636	0.9	0.863532	34.9406	0.3531	0.349406	
09/04/2017 04:54:03.990078	9.04009	0.551636	0.9	0.863532	34.7799	0.347799	0.349406	
09/04/2017 04:54:04.989947	9.06723	0.549666	0.9	0.863532	34.7799	0.347799	0.349406	
09/04/2017 04:54:05.989097	9.12012	0.567798	0.9	0.863532	34.8393	0.348393	0.350686	
09/04/2017 04:54:06.988607	9.15017	0.567798	0.9	0.863532	34.8393	0.348393	0.350686	
09/04/2017 04:54:07.988511	9.20258	0.566134	0.9	0.863532	36.4283	0.372015	0.364283	
09/04/2017 04:54:08.987918	9.23143	0.558582	0.95	0.890068	34.8674	0.372015	0.364283	
